,return
2019-01-02,-0.5700746297943642
2019-01-03,-0.6189081628597073
2019-01-04,-0.6445231668679696
2019-01-07,-0.751944308706765
2019-01-08,-0.8119994661882526
2019-01-09,-0.8346722192133029
2019-01-10,-0.03472684938205006
2019-01-11,-0.7835984857441307
2019-01-14,-0.5803637176437011
2019-01-15,-0.5376282611681891
2019-01-16,-0.7340835577875655
2019-01-17,-0.7119478419238892
2019-01-18,-0.6781537069765271
2019-01-22,-0.40493485336310187
2019-01-23,-0.6449379866212563
2019-01-24,-0.5470770755183487
2019-01-25,-0.4149974615916676
2019-01-28,-0.6911375855220037
2019-01-29,-0.8239840968356287
2019-01-30,-0.04837852252610908
2019-01-31,-1.0182446679060781
2019-02-01,-0.3857238834486587
2019-02-04,-0.648507019174648
2019-02-05,-0.6535240582800181
2019-02-06,-0.8319310063341874
2019-02-07,-0.8280022396731415
2019-02-08,-0.8345847280309009
2019-02-11,-0.4124845345825783
2019-02-12,-0.29386820825716775
2019-02-13,-0.5718484827831478
2019-02-14,-0.7012420842694418
2019-02-15,-0.6934420905093024
2019-02-19,-1.1267915196924712
2019-02-20,-0.25108119355077463
2019-02-21,-0.3650611475239032
2019-02-22,-0.5782709892910471
2019-02-25,-0.6326235882461155
2019-02-26,-0.6269362023974026
2019-02-27,-0.4040986669175908
2019-02-28,-0.7998451736333774
2019-03-01,-0.6231431495346325
2019-03-04,-0.6079407135557737
2019-03-05,-0.4607812637133595
2019-03-06,-0.4307725582245219
2019-03-07,-0.09015088905773361
2019-03-08,-0.9760182398186483
2019-03-11,-0.31924720520502703
2019-03-12,-0.6642891705570566
2019-03-13,-0.6513476873589905
2019-03-14,-0.5702012805717231
2019-03-15,-0.5811252901064314
2019-03-18,-0.8592187919816965
2019-03-19,-0.018390975096274076
2019-03-20,-0.581256058549732
2019-03-21,-0.5691657686529012
2019-03-22,-0.5422065785579413
2019-03-25,-0.5431374735722869
2019-03-26,-0.1602238598194372
2019-03-27,-0.7802912814084166
2019-03-28,-0.8071070626595382
2019-03-29,-0.796327803489234
2019-04-01,-0.1591983631680165
2019-04-02,-0.15891761931894344
2019-04-03,-0.6325396840103981
2019-04-04,-0.6541842216956884
2019-04-05,-0.12176667688300569
2019-04-08,-0.7769024838653937
2019-04-09,-0.5830378391982034
2019-04-10,-0.6683254628424127
2019-04-11,-0.13782510320949903
2019-04-12,-0.12528007603411062
2019-04-15,-0.28856355581200077
2019-04-16,-0.7403332546017438
2019-04-17,-0.7425510120564596
2019-04-18,-0.6977780857225166
2019-04-22,-0.9856685227712347
2019-04-23,-0.6663924586798107
2019-04-24,-0.663297697889119
2019-04-25,-0.11328217146992792
2019-04-26,-0.519211666560091
2019-04-29,-0.5427934671914443
2019-04-30,-0.6168040223017623
2019-05-01,-0.05964436751618507
2019-05-02,-0.16981957193966934
2019-05-03,-0.1471389390827138
2019-05-06,-0.06827007758753645
2019-05-07,-0.045914032365224955
2019-05-08,-0.9516970756686458
2019-05-09,-0.947819070994818
2019-05-10,0.01076036363711097
2019-05-13,-0.22589647604647034
2019-05-14,-0.14165176895263265
2019-05-15,-0.25877060193648305
2019-05-16,-0.6046180719812533
2019-05-17,-0.3411441397245074
2019-05-20,-0.8264073436405788
2019-05-21,-0.6154361399149941
2019-05-22,-0.2567840562434842
2019-05-23,-0.22102891158519178
2019-05-24,-0.2722187642612326
2019-05-28,-0.07712068883317258
2019-05-29,-1.0005737529013352
2019-05-30,-0.059513291329466256
2019-05-31,-0.6150805817879093
2019-06-03,-0.4061433268857222
2019-06-04,-0.16001445962948324
2019-06-05,-0.32627167615282815
2019-06-06,-0.8176302278450471
2019-06-07,-0.15353428201116515
2019-06-10,-0.17920192750815822
2019-06-11,-0.5643677312288489
2019-06-12,-0.11211188328925559
2019-06-13,-0.10762452586735805
2019-06-14,-0.33260125122473205
2019-06-17,0.05156888075772059
2019-06-18,-0.10618075450746645
2019-06-19,-0.10358938791934769
2019-06-20,-0.44828227152100375
2019-06-21,-0.7266938859414971
2019-06-24,-0.13375297572187428
2019-06-25,-0.12501806257429315
2019-06-26,0.12888335868336043
2019-06-27,0.13181602426960914
2019-06-28,-0.5567157111862606
2019-07-01,-0.9125712628019134
2019-07-02,-0.22213993536581889
2019-07-03,-0.19010910843303996
2019-07-05,-0.181660041570618
2019-07-08,-0.717735783801162
2019-07-09,-0.012863109437219578
2019-07-10,-0.3644662477409266
2019-07-11,0.14818308450547235
2019-07-12,-0.6225796477982968
2019-07-15,-0.01878989283781962
2019-07-16,-0.7056682476305287
2019-07-17,-0.7131935653926291
